participant.label,adjusted_payoff
675b3c26026f3cfdc03594d0,2.17
665f8460cb17ece2fa679d4a,2
63d79d065189719c8393e3eb,6.43
60f09796c2a24694ff43f6b7,1.57
6524305322b1779f67502b35,2.05
67191a586acc04aabd3c80cc,3.89
5c03582c1a20110001e9843a,0.59
6734c699d11234d19b0be0ec,2.6
60fd835ac72c40ff4dcb4554,2.84
6643c77e0c522dd6c4be1bd1,4.12
672ff021dad78d519a50f64a,5.41
667c7501f888c2f1e76c031b,2.39
636547c2b26e5248a9d03c01,8.68
65f2f210fae0e4129f5dfdd1,2.44
67c1fd8fd3ef65aaad4ba892,2.3
665c989703b2609ce0e958ad,6.54
65fb7207db270373fa2db455,3.09
6266a87a7adacd7a91cabc93,3.59
676e468736ae0c0d06bd4403,3.69
56cc78e3ccc0e20006b82a7d,6.1
5c5c7f9cdff4b30001aa79a5,3.37
67785c6b67b1b323d4bc5421,7.21
6785f0d3adcf1ffc11119d0e,3.73
5ef459442f85d701235bf29e,4.57
5842fc63bd63a400010f6ae7,2.35
6717cc939f9d7977b10d85f5,7.1
66a95d70975d6208dbb70c1e,3.14
6596d692ac956830b68776e0,6.96
677d8df4fb855e239a363f89,2.79
5f4fef64fd3fc113300fbb44,6.95
67d47007556388f637dab7ef,2.15
671d0e626505134afb4dc9d3,1.42
66a337531d9c242e4a71267a,3.5
674983ea9f65836cfc55078d,3.54
60e5cb4ca01a593fce9a379d,2.92
611605de0a30eebef2479dc3,4.89
677d6b29b44ccabd2fce33cb,3.74
6787fc73447911339adec589,3.96
67d34cb37287d4934dee886d,3.95
643b53b6aeaabf186d24e099,4.93
671704c87bf3abe9ae644622,1.3
5e42f74f5b772a18434cabf7,0.93
61bb396840db417c1a138e3d,4.3
66318e38a23001971c128033,2.09
674480168cc2dad8fc619be0,10.59
589ce4d65e63bf00013b3175,1.74
66293a02f66f851f4c9fec39,1.98
6744f6b7f36802f73ce07b2c,2.71
67723428c7d8eee59166c865,4.98
64abee38a80dfb5e45212487,0.7
66c38c380f6784a696195559,1.22
664306747d76c0d7ada669e8,5.53
665fc8123159edac3b65bd62,3.39
67d38926020c512a895f0cc4,3.58
5c8f224c9d2bff0001867ce2,5.46
67ace9b8a3dada8f64274fd7,3.62
61128d1fd41c74c6ee31a564,2.46
61496cada4d62f06804fa610,6.43
640b816df86dcee615619d0d,4.07
5d14c08b63f5660018e9c499,1.36
6787d95bb2b74926ea16b506,5.92
67a6f7c1713b2f8290259434,1.04
586ee444d22a5800014c54e8,2.69
652597b2c458a7f8e354c6c3,6.54
66df49caa6df07d77078a5fd,1.89
666e57a593be89c7850addc2,2.33
66ed25ce5114149b9c97e578,2.01
60fe3a34f7f4d5e48ad56af2,1.83
679154d304790eef1237fba1,2.09
5e405a1cfce14d29997364da,3.05
