session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
90m5alnp,1,jvakir57,0,,InitializeParticipant,1738937965,1,0,0
90m5alnp,1,jvakir57,1,otfe,Welcome,1738938010,1,0,0
90m5alnp,1,jvakir57,2,otfe,Consent,1738938153,1,0,0
90m5alnp,1,jvakir57,3,otfe,About,1738938211,1,0,0
90m5alnp,2,2ip6ej13,0,,InitializeParticipant,1738938968,1,0,0
90m5alnp,2,2ip6ej13,1,otfe,Welcome,1738938974,1,0,0
90m5alnp,3,hbhwvdyg,0,,InitializeParticipant,1738938976,1,0,0
90m5alnp,2,2ip6ej13,2,otfe,Consent,1738939055,1,0,0
90m5alnp,2,2ip6ej13,3,otfe,About,1738939060,1,0,0
90m5alnp,3,hbhwvdyg,1,otfe,Welcome,1738939082,1,0,0
90m5alnp,1,jvakir57,4,otfe,Instructions,1738939148,1,0,0
90m5alnp,4,gp2akiyp,0,,InitializeParticipant,1738939156,1,0,0
90m5alnp,4,gp2akiyp,1,otfe,Welcome,1738939175,1,0,0
90m5alnp,4,gp2akiyp,2,otfe,Consent,1738939184,1,0,0
90m5alnp,1,jvakir57,5,otfe,Instructions2,1738939184,1,0,0
90m5alnp,4,gp2akiyp,3,otfe,About,1738939196,1,0,0
90m5alnp,1,jvakir57,6,otfe,TaxInstructions,1738939205,1,0,0
90m5alnp,2,2ip6ej13,4,otfe,Instructions,1738939207,1,0,0
90m5alnp,2,2ip6ej13,5,otfe,Instructions2,1738939214,1,0,0
90m5alnp,2,2ip6ej13,6,otfe,TaxInstructions,1738939222,1,0,0
90m5alnp,1,jvakir57,7,otfe,CQS,1738939239,1,0,0
90m5alnp,2,2ip6ej13,7,otfe,CQS,1738939240,1,0,0
90m5alnp,2,2ip6ej13,8,otfe,InstructionsBeliefs,1738939262,1,0,0
90m5alnp,1,jvakir57,8,otfe,InstructionsBeliefs,1738939273,1,0,0
90m5alnp,2,2ip6ej13,9,otfe,Beliefs1,1738939277,1,0,0
90m5alnp,2,2ip6ej13,10,otfe,Transition1,1738939280,1,0,0
90m5alnp,1,jvakir57,9,otfe,Beliefs1,1738939308,1,0,0
90m5alnp,1,jvakir57,10,otfe,Transition1,1738939315,1,0,0
90m5alnp,4,gp2akiyp,4,otfe,Instructions,1738939381,1,0,0
90m5alnp,4,gp2akiyp,5,otfe,Instructions2,1738939812,1,0,0
90m5alnp,4,gp2akiyp,6,otfe,TaxInstructions,1738939837,1,0,0
90m5alnp,4,gp2akiyp,7,otfe,CQS,1738939875,1,0,0
90m5alnp,2,2ip6ej13,11,otfe,Work1,1738939880,1,1,0
90m5alnp,2,2ip6ej13,12,otfe,EndOfWork1,1738939893,1,0,0
90m5alnp,1,jvakir57,11,otfe,Work1,1738939923,1,1,0
90m5alnp,4,gp2akiyp,8,otfe,InstructionsBeliefs,1738939925,1,0,0
90m5alnp,2,2ip6ej13,14,otfe,Beliefs2,1738939964,1,0,0
90m5alnp,4,gp2akiyp,9,otfe,Beliefs1,1738939976,1,0,0
90m5alnp,4,gp2akiyp,10,otfe,Transition1,1738939982,1,0,0
90m5alnp,2,2ip6ej13,15,otfe,Transition2,1738940026,1,0,0
90m5alnp,1,jvakir57,12,otfe,EndOfWork1,1738940229,1,0,0
90m5alnp,1,jvakir57,14,otfe,Beliefs2,1738940257,1,0,0
90m5alnp,1,jvakir57,15,otfe,Transition2,1738940262,1,0,0
35b2iimg,1,g5k3x1no,0,,InitializeParticipant,1738940280,1,0,0
35b2iimg,1,g5k3x1no,1,otfe,Welcome,1738940285,1,0,0
90m5alnp,5,41i48lmt,0,,InitializeParticipant,1738940329,1,0,0
90m5alnp,5,41i48lmt,1,otfe,Welcome,1738940342,1,0,0
90m5alnp,5,41i48lmt,2,otfe,Consent,1738940401,1,0,0
90m5alnp,5,41i48lmt,3,otfe,About,1738940410,1,0,0
90m5alnp,5,41i48lmt,4,otfe,Instructions,1738940565,1,0,0
90m5alnp,4,gp2akiyp,11,otfe,Work1,1738940582,1,1,0
90m5alnp,4,gp2akiyp,12,otfe,EndOfWork1,1738940616,1,0,0
90m5alnp,2,2ip6ej13,16,otfe,Work2,1738940627,1,1,0
90m5alnp,2,2ip6ej13,17,otfe,EndOfWork2,1738940635,1,0,0
90m5alnp,5,41i48lmt,5,otfe,Instructions2,1738940640,1,0,0
90m5alnp,2,2ip6ej13,18,otfe,Beliefs3,1738940641,1,0,0
90m5alnp,2,2ip6ej13,19,otfe,Transition3,1738940643,1,0,0
90m5alnp,5,41i48lmt,6,otfe,TaxInstructions,1738940655,1,0,0
90m5alnp,5,41i48lmt,7,otfe,CQS,1738940674,1,0,0
90m5alnp,5,41i48lmt,8,otfe,InstructionsBeliefs,1738940706,1,0,0
90m5alnp,5,41i48lmt,9,otfe,Beliefs1,1738940779,1,0,0
90m5alnp,5,41i48lmt,10,otfe,Transition1,1738940784,1,0,0
90m5alnp,4,gp2akiyp,14,otfe,Beliefs2,1738940827,1,0,0
90m5alnp,4,gp2akiyp,15,otfe,Transition2,1738940829,1,0,0
90m5alnp,1,jvakir57,16,otfe,Work2,1738940866,1,1,0
90m5alnp,1,jvakir57,17,otfe,EndOfWork2,1738940879,1,0,0
90m5alnp,1,jvakir57,18,otfe,Beliefs3,1738940896,1,0,0
90m5alnp,1,jvakir57,19,otfe,Transition3,1738940900,1,0,0
90m5alnp,2,2ip6ej13,20,otfe,Work3,1738941244,1,1,0
90m5alnp,2,2ip6ej13,21,otfe,EndOfWork3,1738941252,1,0,0
90m5alnp,2,2ip6ej13,22,otfe,Beliefs4,1738941262,1,0,0
90m5alnp,2,2ip6ej13,23,otfe,Transition4,1738941274,1,0,0
90m5alnp,2,2ip6ej13,24,otfe,Survey,1738941378,1,0,0
90m5alnp,5,41i48lmt,11,otfe,Work1,1738941385,1,1,0
90m5alnp,5,41i48lmt,12,otfe,EndOfWork1,1738941410,1,0,0
90m5alnp,5,41i48lmt,14,otfe,Beliefs2,1738941420,1,0,0
90m5alnp,4,gp2akiyp,16,otfe,Work2,1738941429,1,1,0
90m5alnp,5,41i48lmt,15,otfe,Transition2,1738941431,1,0,0
90m5alnp,2,2ip6ej13,25,otfe,Survey2,1738941498,1,0,0
90m5alnp,1,jvakir57,20,otfe,Work3,1738941502,1,1,0
90m5alnp,2,2ip6ej13,26,otfe,Outcome,1738941508,1,0,0
90m5alnp,1,jvakir57,21,otfe,EndOfWork3,1738941531,1,0,0
90m5alnp,2,2ip6ej13,27,otfe,Feedback,1738941535,1,0,0
90m5alnp,2,2ip6ej13,28,otfe,Finished,1738941538,1,0,0
90m5alnp,1,jvakir57,22,otfe,Beliefs4,1738941542,1,0,0
90m5alnp,4,gp2akiyp,17,otfe,EndOfWork2,1738941556,1,0,0
90m5alnp,1,jvakir57,23,otfe,Transition4,1738941571,1,0,0
90m5alnp,1,jvakir57,24,otfe,Survey,1738941689,1,0,0
90m5alnp,4,gp2akiyp,18,otfe,Beliefs3,1738941700,1,0,0
90m5alnp,1,jvakir57,25,otfe,Survey2,1738941788,1,0,0
90m5alnp,1,jvakir57,26,otfe,Outcome,1738941808,1,0,0
90m5alnp,1,jvakir57,27,otfe,Feedback,1738941851,1,0,0
90m5alnp,1,jvakir57,28,otfe,Finished,1738941859,1,0,0
90m5alnp,5,41i48lmt,16,otfe,Work2,1738942031,1,1,0
90m5alnp,5,41i48lmt,17,otfe,EndOfWork2,1738942047,1,0,0
90m5alnp,5,41i48lmt,18,otfe,Beliefs3,1738942051,1,0,0
90m5alnp,5,41i48lmt,19,otfe,Transition3,1738942053,1,0,0
90m5alnp,4,gp2akiyp,19,otfe,Transition3,1738942131,1,0,0
90m5alnp,5,41i48lmt,20,otfe,Work3,1738942654,1,1,0
90m5alnp,5,41i48lmt,21,otfe,EndOfWork3,1738942660,1,0,0
90m5alnp,5,41i48lmt,22,otfe,Beliefs4,1738942670,1,0,0
90m5alnp,5,41i48lmt,23,otfe,Transition4,1738942685,1,0,0
90m5alnp,4,gp2akiyp,20,otfe,Work3,1738942731,1,1,0
90m5alnp,4,gp2akiyp,21,otfe,EndOfWork3,1738942740,1,0,0
90m5alnp,4,gp2akiyp,22,otfe,Beliefs4,1738942753,1,0,0
90m5alnp,5,41i48lmt,24,otfe,Survey,1738942760,1,0,0
90m5alnp,4,gp2akiyp,23,otfe,Transition4,1738942782,1,0,0
90m5alnp,5,41i48lmt,25,otfe,Survey2,1738942840,1,0,0
90m5alnp,5,41i48lmt,26,otfe,Outcome,1738942856,1,0,0
90m5alnp,5,41i48lmt,27,otfe,Feedback,1738942874,1,0,0
