session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page,
dserdgim,1,qjaigqb5,0,,InitializeParticipant,1739058037,1,0,0,
dserdgim,1,qjaigqb5,1,otfe,Welcome,1739058040,1,0,0,
dserdgim,1,qjaigqb5,2,otfe,Consent,1739058042,1,0,0,
dserdgim,1,qjaigqb5,3,otfe,About,1739058044,1,0,0,
dserdgim,1,qjaigqb5,4,otfe,Instructions,1739058057,1,0,0,
dserdgim,1,qjaigqb5,5,otfe,Instructions2,1739058060,1,0,0,#VALUE!
dserdgim,1,qjaigqb5,6,otfe,TaxInstructions,1739058064,1,0,0,
dserdgim,1,qjaigqb5,7,otfe,CQS,1739058072,1,0,0,
dserdgim,1,qjaigqb5,8,otfe,InstructionsBeliefs,1739058076,1,0,0,
dserdgim,1,qjaigqb5,9,otfe,Beliefs1,1739058085,1,0,0,
dserdgim,1,qjaigqb5,10,otfe,Transition1,1739058090,1,0,0,
dserdgim,1,qjaigqb5,11,otfe,Work1,1739058094,1,0,0,
dserdgim,1,qjaigqb5,12,otfe,EndOfWork1,1739058099,1,0,0,
dserdgim,1,qjaigqb5,14,otfe,Beliefs2,1739058134,1,0,0,
dserdgim,1,qjaigqb5,15,otfe,Transition2,1739058141,1,0,0,
dserdgim,1,qjaigqb5,16,otfe,Work2,1739058144,1,0,0,
dserdgim,1,qjaigqb5,17,otfe,EndOfWork2,1739058149,1,0,0,
dserdgim,1,qjaigqb5,18,otfe,Beliefs3,1739058152,1,0,0,
dserdgim,1,qjaigqb5,19,otfe,Transition3,1739058154,1,0,0,
dserdgim,1,qjaigqb5,20,otfe,Work3,1739058156,1,0,0,
zdsr8yhe,1,i4495el9,0,,InitializeParticipant,1739059787,1,0,0,
zdsr8yhe,1,i4495el9,1,otfe,Welcome,1739059797,1,0,0,
zdsr8yhe,1,i4495el9,2,otfe,Consent,1739059811,1,0,0,
zdsr8yhe,1,i4495el9,3,otfe,About,1739059826,1,0,0,
zdsr8yhe,2,dxl2s4jg,0,,InitializeParticipant,1739059951,1,0,0,
zdsr8yhe,2,dxl2s4jg,1,otfe,Welcome,1739059961,1,0,0,
zdsr8yhe,2,dxl2s4jg,2,otfe,Consent,1739059973,1,0,0,
zdsr8yhe,1,i4495el9,4,otfe,Instructions,1739059974,1,0,0,
zdsr8yhe,2,dxl2s4jg,3,otfe,About,1739059982,1,0,0,
zdsr8yhe,2,dxl2s4jg,4,otfe,Instructions,1739060305,1,0,0,
zdsr8yhe,2,dxl2s4jg,5,otfe,Instructions2,1739060314,1,0,0,
zdsr8yhe,2,dxl2s4jg,6,otfe,TaxInstructions,1739060322,1,0,0,
