session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
woa52od5,1,ezp6vs8o,0,,InitializeParticipant,1740148783,1,0,0
woa52od5,1,ezp6vs8o,1,otfe,Welcome,1740148800,1,0,0
woa52od5,2,tokk87rc,0,,InitializeParticipant,1740148804,1,0,0
woa52od5,2,tokk87rc,1,otfe,Welcome,1740148819,1,0,0
woa52od5,1,ezp6vs8o,2,otfe,Consent,1740148820,1,0,0
woa52od5,2,tokk87rc,2,otfe,Consent,1740148831,1,0,0
woa52od5,1,ezp6vs8o,3,otfe,About,1740148837,1,0,0
woa52od5,2,tokk87rc,3,otfe,About,1740148838,1,0,0
woa52od5,3,prc5r688,0,,InitializeParticipant,1740148955,1,0,0
woa52od5,3,prc5r688,1,otfe,Welcome,1740148961,1,0,0
woa52od5,3,prc5r688,2,otfe,Consent,1740149024,1,0,0
woa52od5,3,prc5r688,3,otfe,About,1740149028,1,0,0
woa52od5,1,ezp6vs8o,4,otfe,Instructions,1740149293,1,0,0
woa52od5,1,ezp6vs8o,5,otfe,Instructions2,1740149304,1,0,0
woa52od5,1,ezp6vs8o,6,otfe,TaxInstructions,1740149333,1,0,0
woa52od5,3,prc5r688,4,otfe,Instructions,1740149533,1,0,0
woa52od5,3,prc5r688,5,otfe,Instructions2,1740149546,1,0,0
woa52od5,3,prc5r688,6,otfe,TaxInstructions,1740149575,1,0,0
woa52od5,3,prc5r688,7,otfe,CQS,1740149588,1,0,0
woa52od5,3,prc5r688,8,otfe,InstructionsBeliefs,1740149604,1,0,0
woa52od5,3,prc5r688,9,otfe,Beliefs1,1740149630,1,0,0
woa52od5,3,prc5r688,10,otfe,Transition1,1740149632,1,0,0
woa52od5,4,smrf0qjs,0,,InitializeParticipant,1740149719,1,0,0
woa52od5,2,tokk87rc,4,otfe,Instructions,1740149748,1,0,0
woa52od5,4,smrf0qjs,1,otfe,Welcome,1740149758,1,0,0
woa52od5,2,tokk87rc,5,otfe,Instructions2,1740149769,1,0,0
woa52od5,4,smrf0qjs,2,otfe,Consent,1740149773,1,0,0
woa52od5,2,tokk87rc,6,otfe,TaxInstructions,1740149786,1,0,0
woa52od5,2,tokk87rc,7,otfe,CQS,1740149802,1,0,0
woa52od5,2,tokk87rc,8,otfe,InstructionsBeliefs,1740149826,1,0,0
woa52od5,4,smrf0qjs,3,otfe,About,1740149836,1,0,0
woa52od5,5,k7c57aos,0,,InitializeParticipant,1740149858,1,0,0
woa52od5,5,k7c57aos,1,otfe,Welcome,1740149869,1,0,0
woa52od5,2,tokk87rc,9,otfe,Beliefs1,1740149879,1,0,0
woa52od5,5,k7c57aos,2,otfe,Consent,1740149881,1,0,0
woa52od5,2,tokk87rc,10,otfe,Transition1,1740149885,1,0,0
woa52od5,5,k7c57aos,3,otfe,About,1740149894,1,0,0
woa52od5,6,udxiwvkk,0,,InitializeParticipant,1740150009,1,0,0
woa52od5,4,smrf0qjs,4,otfe,Instructions,1740150131,1,0,0
woa52od5,4,smrf0qjs,5,otfe,Instructions2,1740150142,1,0,0
woa52od5,4,smrf0qjs,6,otfe,TaxInstructions,1740150153,1,0,0
woa52od5,4,smrf0qjs,7,otfe,CQS,1740150168,1,0,0
woa52od5,4,smrf0qjs,8,otfe,InstructionsBeliefs,1740150184,1,0,0
woa52od5,4,smrf0qjs,9,otfe,Beliefs1,1740150206,1,0,0
woa52od5,4,smrf0qjs,10,otfe,Transition1,1740150209,1,0,0
woa52od5,3,prc5r688,11,otfe,Work1,1740150234,1,1,0
woa52od5,3,prc5r688,12,otfe,EndOfWork1,1740150241,1,0,0
woa52od5,5,k7c57aos,4,otfe,Instructions,1740150250,1,0,0
woa52od5,3,prc5r688,14,otfe,Beliefs2,1740150258,1,0,0
woa52od5,3,prc5r688,15,otfe,Transition2,1740150261,1,0,0
woa52od5,5,k7c57aos,5,otfe,Instructions2,1740150357,1,0,0
woa52od5,5,k7c57aos,6,otfe,TaxInstructions,1740150376,1,0,0
woa52od5,5,k7c57aos,7,otfe,CQS,1740150402,1,0,0
