participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.development,session.config.real_world_currency_per_point,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
1,jvakir57,6737a7751f0f53ed4920811a,0,29,29,otfe,Redirect,2025-02-07 14:19:25.649855,1,,,5.25,C-NoInfo,1738938010.7413092,1738941851.42451,1,Chrome 132,passed,0,1,"{""correctAttempts"":1,""incorrectAttempts"":2}","{""correctAttempts"":1,""incorrectAttempts"":2}","{""correctAttempts"":13,""incorrectAttempts"":3}","{""correctAttempts"":14,""incorrectAttempts"":3}",1,20,16,12,16,18,14,10,0,The study was well maintained,9,8,9,10,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,1,,0.0,passed,20,16,12,10,18,16,14,2,2,2,5,4,5,2,,,2,4,2,3,4,4,4,The study was well maintained,9,8,9,10,1,1
2,2ip6ej13,6720c49ff56b4064a8b5d369,0,29,29,otfe,Redirect,2025-02-07 14:36:08.047957,1,,,8.55,T2-T,1738938974.9540586,1738941535.020785,1,Chrome 132,passed,0,1,"{""correctAttempts"":2,""incorrectAttempts"":0}","{""correctAttempts"":17,""incorrectAttempts"":1}","{""correctAttempts"":18,""incorrectAttempts"":2}","{""correctAttempts"":20,""incorrectAttempts"":1}",1_2,25,90,40,25,25,90,25,1,,9,9,10,9,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,2,,0.0,passed,25,90,40,25,25,25,90,2,2,2,3,3,2,4,,,2,2,1,1,3,3,4,,9,9,10,9,1,1
3,hbhwvdyg,66983126a43613fe2f6a3775,0,2,29,otfe,Consent,2025-02-07 14:36:16.573957,1,,,0.0,C-NoInfo,1738939082.1974947,,,Chrome 128,,0,0,,,,,1_3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,3,,0.0,Chrome 128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,gp2akiyp,67114d7dcb73ec88fa23b937,0,29,29,otfe,Redirect,2025-02-07 14:39:16.818579,1,,,6.35,T2-T,1738939175.6772182,1738943022.7449458,1,Edge 132,passed,0,0,"{""correctAttempts"":1,""incorrectAttempts"":1}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":0}",2,25,90,10,25,25,90,25,0,Very interesting study,10,10,10,10,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,4,,0.0,passed,25,90,10,25,25,25,90,2,2,2,3,4,2,4,,,2,2,1,1,3,4,4,Very interesting study,10,10,10,10,1,1
5,41i48lmt,63026053812fe400f2929701,0,29,29,otfe,Redirect,2025-02-07 14:58:49.790380,1,,,7.75,C-NoInfo,1738940342.6574395,1738942874.541373,1,Chrome 132,passed,0,0,"{""correctAttempts"":1,""incorrectAttempts"":1}","{""correctAttempts"":7,""incorrectAttempts"":3}","{""correctAttempts"":13,""incorrectAttempts"":0}","{""correctAttempts"":16,""incorrectAttempts"":0}",1_3,25,25,25,25,25,25,25,1,None,10,10,10,10,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,5,,0.0,passed,25,25,25,25,25,25,25,2,2,2,5,4,3,3,,,2,4,2,2,3,4,4,None,10,10,10,10,1,1
6,eujy15qh,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
7,84crrn82,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
8,pgcqmrpk,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,1,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
9,m5yisgvp,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,2,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
10,yj8jmkng,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,3,,,,,,,,,,,,,,90m5alnp,,,,,0,otfe,0.0,0,1.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
