participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.real_world_currency_per_point,session.config.name,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
1,6pueeygy,5d91daf3704e790018f47229,0,29,29,otfe,Redirect,2025-02-06 22:09:07.268006,1,,,15.38,T2-T,1738879844.9388657,1738882235.3759568,1,Chrome 132,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":21,""incorrectAttempts"":0}","{""correctAttempts"":24,""incorrectAttempts"":0}",3,25,75,25,28,27,50,25,,10,10,10,10,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,1,,0.0,"{""correctAttempts"":24,""incorrectAttempts"":0}",25,75,25,25,27,28,50,2,2,2,5,4,3,3,,,2,3,2,2,4,4,4,,10,10,10,10,1,1
2,mhei2vk9,61074cf49372b754ac5cf8e6,0,29,29,otfe,Redirect,2025-02-06 22:24:29.727470,1,,,22.25,C-Info,1738880677.2720256,1738883014.1006255,1,Chrome 132,0,0,"{""correctAttempts"":2,""incorrectAttempts"":0}","{""correctAttempts"":26,""incorrectAttempts"":1}","{""correctAttempts"":32,""incorrectAttempts"":0}","{""correctAttempts"":34,""incorrectAttempts"":0}",2_3,27,27,27,45,33,33,25,,9,9,8,9,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,2,,0.0,"{""correctAttempts"":34,""incorrectAttempts"":0}",27,27,27,25,33,45,33,2,2,2,3,4,3,2,,,3,2,2,2,3,4,4,,9,9,8,9,1,1
3,hguz9t8p,5abfe867a3ba7a0001b47449,0,29,29,otfe,Redirect,2025-02-06 22:58:23.155540,1,,,17.69,T1-T-Info,1738882725.91568,1738885591.850482,1,Edge 132,0,0,"{""correctAttempts"":2,""incorrectAttempts"":1}","{""correctAttempts"":22,""incorrectAttempts"":1}","{""correctAttempts"":26,""incorrectAttempts"":0}","{""correctAttempts"":27,""incorrectAttempts"":1}",1_3,24,33,33,42,33,24,33,Everything was clear and easy to understand. The task was calming and fun felt smooth and challenging. Thanks for the opportunity. Wish you all the best!,10,10,9,10,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,3,,0.0,"{""correctAttempts"":27,""incorrectAttempts"":1}",24,33,33,33,33,42,24,2,2,2,4,3,2,5,,,3,2,3,4,4,4,4,Everything was clear and easy to understand. The task was calming and fun felt smooth and challenging. Thanks for the opportunity. Wish you all the best!,10,10,9,10,1,1
4,cvxoe2v8,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,h6re3sy4,,0,0,29,,,,0,,,0.0,T1-P,,,,,0,0,,,,,3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,csevo9cr,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
7,wefihfpf,,0,0,29,,,,0,,,0.0,T2-T,,,,,0,0,,,,,2_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
8,s20ag0kr,,0,0,29,,,,0,,,0.0,C-Info,,,,,0,0,,,,,2,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
9,078fd2om,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,0,0,,,,,1_3,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
10,5w5hqup4,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,0,0,,,,,1,,,,,,,,,,,,,92j3gjpe,,,,,0,0,1.0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
