participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.development,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
1,59vwudvb,644c34bee80856c9546c7312,0,29,29,otfe,Redirect,2025-02-10 14:18:50.909665,1,,,6.85,C-Info,1739197139.7483113,1739199674.8518124,1,Chrome 132,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":0}","{""correctAttempts"":19,""incorrectAttempts"":0}",2,25,25,25,30,18,25,25,1,,10,10,10,10,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,1,,0.0,failed,25,25,25,25,18,30,25,2,2,2,5,4,4,3,,,4,3,2,2,2,3,3,,10,10,10,10,1,1
2,56kb2vri,66df6fb9972f7e64780e9d19,0,29,29,otfe,Redirect,2025-02-10 14:24:25.969936,1,,,4.15,T1-P,1739197476.9704869,1739200262.519822,1,Chrome 132,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":13,""incorrectAttempts"":1}","{""correctAttempts"":15,""incorrectAttempts"":1}",2,27,50,50,25,28,50,50,1,,10,10,10,10,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,2,,0.0,passed,27,50,50,50,28,25,50,2,2,2,4,4,2,3,,,4,4,2,2,3,3,4,,10,10,10,10,1,1
3,yx3fby7v,6734f4622cbd088a82b7f773,0,29,29,otfe,Redirect,2025-02-10 14:30:58.256808,1,,,3.75,T1-T-NoInfo,1739197870.8802176,1739200941.789036,1,Chrome 132,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":3}","{""correctAttempts"":11,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":0}",1_3,25,60,20,10,15,30,27,0,it went great,10,10,10,10,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,3,,0.0,failed,25,60,20,27,15,10,30,2,2,2,5,5,2,4,,,5,4,2,3,4,4,4,it went great,10,10,10,10,1,1
4,1870o7eb,66e9b71177c3090433540727,0,29,29,otfe,Redirect,2025-02-10 14:32:21.211988,1,,,1.86,T2-T,1739197945.6008155,1739201135.5488975,1,Chrome 132,failed,0,1,"{""correctAttempts"":6,""incorrectAttempts"":2}","{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":4,""incorrectAttempts"":1}","{""correctAttempts"":3,""incorrectAttempts"":0}",2,22,25,25,22,22,25,25,1,,10,9,9,9,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,4,,0.0,failed,22,25,25,25,22,22,25,2,2,2,4,4,2,4,,,4,3,1,2,3,4,4,,10,9,9,9,1,1
5,7bvk8ofb,671d5e7d96823c9a33e67f2f,0,29,29,otfe,Redirect,2025-02-10 14:33:22.951274,1,,,1.61,T1-T-Info,1739198014.1087582,1739201542.2732322,1,Chrome 128,failed,4,1,"{""correctAttempts"":5,""incorrectAttempts"":2}","{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":6,""incorrectAttempts"":1}","{""correctAttempts"":5,""incorrectAttempts"":0}",1,45,25,25,35,55,75,25,0,,7,5,6,5,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,5,,0.0,failed,45,25,25,25,55,35,75,2,2,2,3,4,2,4,,,2,3,3,2,3,2,3,,7,5,6,5,1,1
6,xq2jbrzj,5d37ad921c16bb0015281337,0,29,29,otfe,Redirect,2025-02-10 14:36:13.261529,1,,,6.18,C-NoInfo,1739198181.0068069,1739201415.8631666,1,Chrome 132,failed,0,0,"{""correctAttempts"":19,""incorrectAttempts"":3}","{""correctAttempts"":18,""incorrectAttempts"":1}","{""correctAttempts"":14,""incorrectAttempts"":3}","{""correctAttempts"":14,""incorrectAttempts"":4}",1_2,25,26,26,27,26,27,25,1," I find it hard to believe the ""average"" pay is 16 for this study. I felt like I was going decently fast, and did not take a break, and made less than 12. ",9,10,9,8,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,6,,0.0,failed,25,26,26,25,26,27,27,2,2,2,3,3,2,4,,,3,3,2,2,2,3,3," I find it hard to believe the ""average"" pay is 16 for this study. I felt like I was going decently fast, and did not take a break, and made less than 12. ",9,10,9,8,1,1
7,wazw8sht,570d30d942a1db000fc4cf87,0,29,29,otfe,Redirect,2025-02-10 14:39:25.635454,1,,,6.08,C-Info,1739198411.2935703,1739201249.8259556,1,Chrome 132,passed,0,0,"{""correctAttempts"":6,""incorrectAttempts"":2}","{""correctAttempts"":15,""incorrectAttempts"":3}","{""correctAttempts"":20,""incorrectAttempts"":2}","{""correctAttempts"":19,""incorrectAttempts"":2}",1_2,25,25,25,32,28,35,25,0,,10,10,10,7,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,7,,0.0,passed,25,25,25,25,28,32,35,2,2,2,5,3,3,4,,,5,4,2,3,3,4,4,,10,10,10,7,1,1
8,hjypml4y,63d1c1095b55c7061678a96e,0,29,29,otfe,Redirect,2025-02-10 14:41:23.990485,1,,,6.02,T1-P,1739198488.7071612,1739202392.9842877,1,Chrome 132,failed,0,0,"{""correctAttempts"":6,""incorrectAttempts"":1}","{""correctAttempts"":21,""incorrectAttempts"":0}","{""correctAttempts"":22,""incorrectAttempts"":2}","{""correctAttempts"":24,""incorrectAttempts"":3}",2,25,50,75,35,30,75,50,1,,9,9,7,3,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,8,,0.0,failed,25,50,75,50,30,35,75,2,2,2,4,4,4,2,,,2,1,2,2,2,4,4,,9,9,7,3,1,1
9,e520htvm,6020606d7b0258677b881f63,0,1,29,otfe,Welcome,2025-02-10 14:46:01.395722,1,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,3,,,,,,,,,,,,,,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
10,sm3xgp8f,66a6840ee7dacc037e45681c,0,29,29,otfe,Redirect,2025-02-10 14:49:23.581822,1,,,0.15,T2-T,1739198967.9246087,1739201668.3252943,1,Chrome 131,failed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":10,""incorrectAttempts"":2}","{""correctAttempts"":0,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}",1,25,25,25,25,25,25,25,0,,6,7,7,7,e9bjiy71,,,,,0,1.0,otfe,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,10,,0.0,failed,25,25,25,25,25,25,25,2,2,2,3,4,1,3,,,5,3,2,3,3,4,4,,6,7,7,7,1,1
