participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.participation_fee,session.config.development,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_one_time_policies,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
1,idiu7ybr,,0,0,29,,,,0,,,0.0,C-NoInfo,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,fofls5pv,,,,,1,1.0,otfe,0.0,0,,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,axk4ohc7,,0,0,29,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,,,,,2_3,,,,,,,,,,,,,,fofls5pv,,,,,1,1.0,otfe,0.0,0,,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3,yoyb7eix,,0,0,29,,,,0,,,0.0,T2-T,,,,,,0,0,,,,,2,,,,,,,,,,,,,,fofls5pv,,,,,1,1.0,otfe,0.0,0,,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,y04ww3dr,,0,0,29,,,,0,,,0.0,C-Info,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,fofls5pv,,,,,1,1.0,otfe,0.0,0,,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,gyvbtf69,,0,0,29,,,,0,,,0.0,T1-T-Info,,,,,,0,0,,,,,1_2,,,,,,,,,,,,,,fofls5pv,,,,,1,1.0,otfe,0.0,0,,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,z6erz0zf,,0,0,29,,,,0,,,0.0,T1-P,,,,,,0,0,,,,,1_3,,,,,,,,,,,,,,fofls5pv,,,,,1,1.0,otfe,0.0,0,,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,ezp6vs8o,66d9edfb2b46f520118ea289,0,7,29,otfe,CQS,2025-02-21 14:39:43.832576,1,,,0.0,T2-T,1740148800.1848893,,,Edge 133,,0,0,"{""correctAttempts"":6,""incorrectAttempts"":1}",,,,1_3,,,,,,,,,,,,,,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,1,,0.0,"{""correctAttempts"":6,""incorrectAttempts"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,tokk87rc,5fb7dd473afbb1033b491811,0,29,29,otfe,Redirect,2025-02-21 14:40:04.651391,1,,,4.53,T1-P,1740148819.4408083,1740152324.7712743,1,Chrome 133,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":4}","{""correctAttempts"":13,""incorrectAttempts"":2}","{""correctAttempts"":16,""incorrectAttempts"":0}","{""correctAttempts"":18,""incorrectAttempts"":2}",2_3,26,50,50,21,30,50,50,1,"I thought I did much better, but only received a bit more than $11, which is a decent amount less than the $16 average. I feel the pay is fair though, even only receiving $11!",10,10,7,8,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,2,,0.0,passed,26,50,50,50,30,21,50,2,2,2,3,3,2,4,,,4,3,1,1,2,3,4,"I thought I did much better, but only received a bit more than $11, which is a decent amount less than the $16 average. I feel the pay is fair though, even only receiving $11!",10,10,7,8,1,1
3,prc5r688,6340d2fa46f2d707e146b63b,0,29,29,otfe,Redirect,2025-02-21 14:42:35.355144,1,,,4.95,C-NoInfo,1740148961.4083796,1740151657.693898,1,Chrome 132,failed,0,0,"{""correctAttempts"":6,""incorrectAttempts"":0}","{""correctAttempts"":13,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":1}","{""correctAttempts"":17,""incorrectAttempts"":1}",2,25,30,25,15,30,15,25,0,,9,9,10,9,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,3,,0.0,failed,25,30,25,25,30,15,15,2,2,2,3,3,3,3,,,3,2,2,2,3,3,4,,9,9,10,9,1,1
4,smrf0qjs,62aa28c1027ae7d68ef3571c,0,29,29,otfe,Redirect,2025-02-21 14:55:19.777129,1,,,5.55,T1-T-Info,1740149758.6292107,1740152327.2304642,1,Chrome 133,passed,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":17,""incorrectAttempts"":0}","{""correctAttempts"":15,""incorrectAttempts"":4}","{""correctAttempts"":23,""incorrectAttempts"":0}",1,25,55,35,25,25,60,25,0,Nothing was confusing and there weren't any issues,10,10,10,10,woa52od5,,,,,0,1.0,otfe,0.0,0,https://app.prolific.com/submissions/complete?cc=C1D231BT,4,,0.0,passed,25,55,35,25,25,25,60,2,2,2,5,4,2,4,,,3,2,1,1,2,3,4,Nothing was confusing and there weren't any issues,10,10,10,10,1,1
