participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.cq_3_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.development,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans_with,otfe.1.player.survey_student_loans_without,otfe.1.player.survey_student_loans_with_likert,otfe.1.player.survey_student_loans_without_likert,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_savings_number,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.survey_tax_rates_1_prob,otfe.1.player.survey_tax_rates_2_prob,otfe.1.player.survey_tax_rates_3_prob,otfe.1.player.survey_tax_rates_4_prob,otfe.1.player.survey_tax_rates_5_prob,otfe.1.player.annual_income,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
1,cyr9sl9t,66632c69d2b270f0314a0b16,0,32,32,otfe,Redirect,2025-03-27 13:06:32.294534,1,,,3.25,C-NoInfo,1743080997.2931666,1743086636.2175748,1,Chrome 129,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":10,""incorrectAttempts"":2}","{""correctAttempts"":5,""incorrectAttempts"":5}","{""correctAttempts"":5,""incorrectAttempts"":1}",3,25,25,25,29,27,27,25,1,,10,9,9,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,1,,0.0,failed,25,25,25,25,27,29,27,2,2,2,70,65,4,4,,3,,,,,2,1,1,1,3,4,3,5,10,35,70,9,,10,9,9,10,1,1
2,ic0ftfsx,667970bb47ca9598fd9fe270,0,32,32,otfe,Redirect,2025-03-27 13:06:49.055378,1,,,6.46,T2-T,1743080914.5441873,1743083523.474318,1,Chrome 134,passed,0,1,0,"{""correctAttempts"":6,""incorrectAttempts"":0}","{""correctAttempts"":19,""incorrectAttempts"":0}","{""correctAttempts"":21,""incorrectAttempts"":2}","{""correctAttempts"":25,""incorrectAttempts"":2}",1_2,25,61,59,24,26,33,60,1,"there was only one typo in the after task survey where it says in the question ""if student were canceled"" instead of what was meant to be stated",10,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,2,,0.0,passed,25,61,59,60,26,24,33,2,2,2,95,100,4,4,,3,,,,,4,2,2,3,3,4,10,20,40,55,75,1,"there was only one typo in the after task survey where it says in the question ""if student were canceled"" instead of what was meant to be stated",10,10,10,10,1,1
3,ikvk49m7,665dad37740a458b78ae5c71,0,32,32,otfe,Redirect,2025-03-27 13:10:10.652656,1,,,1.84,T1-T-Info,1743081020.7616346,1743084369.8539753,1,Chrome 132,failed,0,1,0,"{""correctAttempts"":8,""incorrectAttempts"":1}","{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":8,""incorrectAttempts"":0}",2_3,25,25,20,28,20,30,25,0,,8,8,8,8,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,3,,0.0,failed,25,25,20,25,20,28,30,2,2,2,30,45,2,3,,2,3,,,,2,3,3,3,3,2,30,60,50,50,20,6,,8,8,8,8,1,1
4,lcfurngg,677d9859b713c31eb73da3b9,0,32,32,otfe,Redirect,2025-03-27 13:11:40.398708,1,,,2.29,T1-T-NoInfo,1743081103.8847923,1743083692.4441178,1,Safari 16,passed,0,0,1,"{""correctAttempts"":6,""incorrectAttempts"":1}","{""correctAttempts"":8,""incorrectAttempts"":0}","{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":8,""incorrectAttempts"":0}",1,25,50,45,25,25,75,25,0,none,10,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,4,,0.0,passed,25,50,45,25,25,25,75,2,2,2,100,100,4,4,,3,,,,,3,1,2,3,4,4,100,50,80,100,100,12,none,10,10,10,10,1,1
5,ow9vag0c,63a4af8f8b8722876fa88952,0,32,32,otfe,Redirect,2025-03-27 13:12:03.876739,1,,,4.38,T1-P,1743081126.9166265,1743083740.931599,1,Chrome 134,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":12,""incorrectAttempts"":2}","{""correctAttempts"":19,""incorrectAttempts"":1}",3,25,50,50,25,27,50,50,1,,10,10,9,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,5,,0.0,failed,25,50,50,50,27,25,50,2,2,2,70,70,3,3,,4,300,,,,2,2,2,3,2,2,80,70,85,50,50,11,,10,10,9,10,1,1
6,mgthe3er,67059bab62b875241f1ecb11,0,32,32,otfe,Redirect,2025-03-27 13:22:18.195489,1,,,5.06,C-Info,1743081746.1704304,1743084469.713954,1,Chrome 133,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":3}","{""correctAttempts"":14,""incorrectAttempts"":4}","{""correctAttempts"":17,""incorrectAttempts"":0}",1_3,25,25,25,33,20,25,25,0,,9,9,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,6,,0.0,passed,25,25,25,25,20,33,25,2,2,2,95,99,2,4,,5,1000,,,,4,1,2,3,4,4,10,30,60,85,95,5,,9,9,10,10,1,1
7,4c0mgh6p,66873c06f948d147e72b2654,0,32,32,otfe,Redirect,2025-03-27 13:22:37.849419,1,,,5.06,C-NoInfo,1743081767.030963,1743084485.5623453,1,Chrome 134,passed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":0}","{""correctAttempts"":13,""incorrectAttempts"":1}","{""correctAttempts"":16,""incorrectAttempts"":1}","{""correctAttempts"":16,""incorrectAttempts"":1}",1_2,25,0,0,0,0,0,25,0,,7,9,8,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,7,,0.0,passed,25,0,0,25,0,0,0,2,2,2,75,100,3,4,,2,100,,,,4,1,3,4,4,4,15,75,100,100,100,4,,7,9,8,10,1,1
8,2gf80do6,5bd3454113e7dd0001f21591,0,32,32,otfe,Redirect,2025-03-27 13:22:51.720063,1,,,1.58,T2-T,1743081773.8023553,1743085414.0391662,1,Chrome 134,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":8,""incorrectAttempts"":0}","{""correctAttempts"":12,""incorrectAttempts"":0}","{""correctAttempts"":1,""incorrectAttempts"":0}",1,25,40,30,35,30,50,30,0,,9,10,10,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,8,,0.0,failed,25,40,30,30,30,35,50,2,2,2,40,40,2,2,,3,,,,,5,3,3,4,4,4,60,60,80,100,90,6,,9,10,10,10,1,1
9,uolprnh1,66736b0ac390b463a383ffc5,0,4,32,otfe,Instructions,2025-03-27 13:24:47.841237,1,,,0.0,T1-T-Info,1743081890.413936,,,Chrome 134,,0,0,0,,,,,3,,,,,,,,,,,,,,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,9,,0.0,Chrome 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
10,pna8381y,5d0dca2cecd8f60017eaddb3,0,32,32,otfe,Redirect,2025-03-27 13:25:08.837762,1,,,3.41,T1-T-NoInfo,1743081983.8996313,1743085639.079541,1,Chrome 134,failed,0,1,0,"{""correctAttempts"":6,""incorrectAttempts"":0}","{""correctAttempts"":14,""incorrectAttempts"":0}","{""correctAttempts"":11,""incorrectAttempts"":2}","{""correctAttempts"":10,""incorrectAttempts"":0}",1_3,25,25,20,50,35,35,20,0,This was a good study.,8,9,9,10,utx0z3u4,,,,,0,otfe,1.0,0,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,10,,0.0,failed,25,25,20,20,35,50,35,2,2,2,2,1,1,1,,2,200,,,,3,3,3,4,4,4,25,35,65,80,85,3,This was a good study.,8,9,9,10,1,1
