participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.start_time,participant.end_time,participant.finished,participant.browser,participant.attention_check,participant.cq_1_mistakes,participant.cq_2_mistakes,participant.cq_3_mistakes,participant.attempts_training,participant.attempts_work_1,participant.attempts_work_2,participant.attempts_work_3,participant.which_belief,participant.beliefs1,participant.beliefs2,participant.beliefs3,participant.beliefs1_3,participant.beliefs1_2,participant.beliefs2_3,participant.beliefs4,participant.belief_bonus,participant.feedback,participant.feedback_difficulty,participant.feedback_understanding,participant.feedback_satisfied,participant.feedback_pay,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.development,session.config.name,session.config.participation_fee,session.prolific_completion_url,otfe.1.player.id_in_group,otfe.1.player.role,otfe.1.player.payoff,otfe.1.player.data_dummy,otfe.1.player.beliefs1,otfe.1.player.beliefs2,otfe.1.player.beliefs3,otfe.1.player.beliefs4,otfe.1.player.beliefs1_2,otfe.1.player.beliefs1_3,otfe.1.player.beliefs2_3,otfe.1.player.cq_1,otfe.1.player.cq_2,otfe.1.player.cq_3,otfe.1.player.survey_student_loans_likelihood,otfe.1.player.survey_student_loans_with,otfe.1.player.survey_student_loans_without,otfe.1.player.survey_student_loans_with_likert,otfe.1.player.survey_student_loans_without_likert,otfe.1.player.survey_pandemic,otfe.1.player.survey_wealth_tax_savings_likelihood,otfe.1.player.survey_wealth_tax_savings,otfe.1.player.survey_wealth_tax_savings_number,otfe.1.player.survey_wealth_tax_consumption,otfe.1.player.survey_wealth_tax_personal_savings,otfe.1.player.survey_wealth_tax_personal_consumption,otfe.1.player.survey_repatriation_likelihood,otfe.1.player.survey_repatriation,otfe.1.player.survey_tax_rates_1,otfe.1.player.survey_tax_rates_2,otfe.1.player.survey_tax_rates_3,otfe.1.player.survey_tax_rates_4,otfe.1.player.survey_tax_rates_5,otfe.1.player.survey_tax_rates_1_prob,otfe.1.player.survey_tax_rates_2_prob,otfe.1.player.survey_tax_rates_3_prob,otfe.1.player.survey_tax_rates_4_prob,otfe.1.player.survey_tax_rates_5_prob,otfe.1.player.annual_income,otfe.1.player.feedback,otfe.1.player.feedback_difficulty,otfe.1.player.feedback_understanding,otfe.1.player.feedback_satisfied,otfe.1.player.feedback_pay,otfe.1.group.id_in_subsession,otfe.1.subsession.round_number
1,gdkdop8a,,0,0,32,,,,0,,,0.0,T1-P,,,,,,0,0,0,,,,,3,,,,,,,,,,,,,,2qs882ed,,,,,1,1.0,0,otfe,0.0,,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,t4ebapzf,,0,0,32,,,,0,,,0.0,C-NoInfo,,,,,,0,0,0,,,,,1_2,,,,,,,,,,,,,,2qs882ed,,,,,1,1.0,0,otfe,0.0,,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
3,xcpzcpup,,0,0,32,,,,0,,,0.0,C-Info,,,,,,0,0,0,,,,,1,,,,,,,,,,,,,,2qs882ed,,,,,1,1.0,0,otfe,0.0,,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,nvtd8ucp,,0,0,32,,,,0,,,0.0,T1-T-NoInfo,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,2qs882ed,,,,,1,1.0,0,otfe,0.0,,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,x9ujy735,,0,0,32,,,,0,,,0.0,T1-T-Info,,,,,,0,0,0,,,,,2_3,,,,,,,,,,,,,,2qs882ed,,,,,1,1.0,0,otfe,0.0,,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,6oi6ofvb,,0,0,32,,,,0,,,0.0,T2-T,,,,,,0,0,0,,,,,1_3,,,,,,,,,,,,,,2qs882ed,,,,,1,1.0,0,otfe,0.0,,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,51d1rail,5977466b68264c0001c49088,0,4,32,otfe,Instructions,2025-04-09 13:08:51.786401,1,,,0.0,C-NoInfo,1744204146.5421736,,,Chrome 134,,0,0,0,,,,,2_3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,1,,0.0,Chrome 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
2,41hl5mrc,675b3c26026f3cfdc03594d0,0,32,32,otfe,Redirect,2025-04-09 13:09:09.723466,1,,,2.93,T1-T-Info,1744204160.0738494,1744206943.102042,1,Chrome 131,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":9,""incorrectAttempts"":1}","{""correctAttempts"":11,""incorrectAttempts"":2}","{""correctAttempts"":9,""incorrectAttempts"":1}",2,25,10,0,20,20,10,0,0,,10,10,10,9,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,2,,0.0,failed,25,10,0,0,20,20,10,2,2,2,5,15,25,4,4,,5,4,100,,,,5,4,3,4,3,4,3,12,34,14,15,5,9,,10,10,10,9,1,1
3,91ao0ml1,5e77a65dcce2a2319f9e8849,0,4,32,otfe,Instructions,2025-04-09 13:09:30.551930,1,,,0.0,T2-T,1744204176.5189307,,,Chrome 134,,0,0,0,,,,,3,,,,,,,,,,,,,,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,3,,0.0,Chrome 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,gkrxmyct,665f8460cb17ece2fa679d4a,0,32,32,otfe,Redirect,2025-04-09 13:11:29.388681,1,,,2.76,T1-T-NoInfo,1744204297.829907,1744207605.7402225,1,Chrome 135,failed,0,0,0,"{""correctAttempts"":5,""incorrectAttempts"":1}","{""correctAttempts"":13,""incorrectAttempts"":1}","{""correctAttempts"":7,""incorrectAttempts"":0}","{""correctAttempts"":0,""incorrectAttempts"":0}",1_3,25,25,25,25,25,25,25,1,,10,10,6,4,g03y7yr2,,,,,0,1.0,0,otfe,0.0,https://app.prolific.com/submissions/complete?cc=C1D231BT,4,,0.0,failed,25,25,25,25,25,25,25,2,2,2,3,10,10,3,4,,5,3,,,,,3,3,2,3,4,3,3,0,10,10,10,10,9,,10,10,6,4,1,1
