participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.data_dummy,player.beliefs1,player.beliefs2,player.beliefs3,player.beliefs4,player.beliefs1_2,player.beliefs1_3,player.beliefs2_3,player.cq_1,player.cq_2,player.cq_3,player.survey_student_loans,player.survey_pandemic,player.survey_wealth_tax_savings,player.survey_wealth_tax_consumption,player.survey_wealth_tax_personal_savings,player.survey_wealth_tax_personal_consumption,player.survey_repatriation,player.survey_one_time_policies,player.survey_tax_rates_1,player.survey_tax_rates_2,player.survey_tax_rates_3,player.survey_tax_rates_4,player.survey_tax_rates_5,player.feedback,player.feedback_difficulty,player.feedback_understanding,player.feedback_satisfied,player.feedback_pay,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,qjaigqb5,,0,21,29,otfe,EndOfWork3,2025-02-08 23:40:37.070381,1,,,0.0,1,,0.0,"{""correctAttempts"":0,""incorrectAttempts"":0}",3,3,3,,3,2,3,,,,,,,,,,,,,,,,,,,,,,1,1,dserdgim,,,,,1
2,e8dnd1nf,,0,0,29,,,,0,,,0.0,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,dserdgim,,,,,1
3,zn6uomec,,0,0,29,,,,0,,,0.0,3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,dserdgim,,,,,1
4,6cafl5ur,,0,0,29,,,,0,,,0.0,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,dserdgim,,,,,1
5,vdrpe0nx,,0,0,29,,,,0,,,0.0,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,dserdgim,,,,,1
6,zfz9p78v,,0,0,29,,,,0,,,0.0,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,dserdgim,,,,,1
1,i4495el9,63d491645d1fc6159dcfa30a,0,29,29,otfe,Redirect,2025-02-09 00:09:47.405779,1,,,5.5,1,,0.0,failed,23,24,25,25,23,26,26,2,2,2,3,3,5,3,,,3,4,3,3,4,4,4,,10,10,9,9,1,1,zdsr8yhe,,,,,0
2,dxl2s4jg,5df3ee5d4f40fb2db2a6e870,0,29,29,otfe,Redirect,2025-02-09 00:12:31.287327,1,,,2.87,2,,0.0,passed,25,25,100,90,25,25,100,2,2,2,4,3,3,3,,,3,2,2,2,3,4,4,,7,9,3,10,1,1,zdsr8yhe,,,,,0
3,3nhhskx8,5c365b5e8821900001b3876c,0,29,29,otfe,Redirect,2025-02-09 00:58:59.170441,1,,,4.16,3,,0.0,passed,25,23,22,18,23,22,22,2,2,2,4,3,3,3,,,1,3,3,3,3,3,3,,10,10,10,10,1,1,zdsr8yhe,,,,,0
4,2ce5ayeu,58a53fd327c3bb00014e74e2,0,29,29,otfe,Redirect,2025-02-09 01:10:26.142477,1,,,1.65,4,,0.0,passed,26,85,50,30,25,25,80,2,2,2,5,5,1,4,,,4,3,2,2,3,3,3,It was an interesting study and I enjoyed engaging in it,10,10,10,10,1,1,zdsr8yhe,,,,,0
