"participant.label","feedback","feedback_difficulty","feedback_understanding","feedback_satisfied","feedback_pay"
"66df6fb9972f7e64780e9d19",NA,10,10,10,10
"570d30d942a1db000fc4cf87",NA,10,10,10,7
"65298aca34ac384b783169d4","I think this study worked great and was interesting. I had no technical issues either",10,10,10,10
"5f1bf8c6fe7ca34249b7c334",NA,10,10,10,10
"5ff082234cfb7df5d6371e99",NA,10,10,7,6
"657db19ca4e2e63c2eb7296f","Thank you, enjoy your day!",8,9,9,8
"66546fbc8a2568aa277e84d0",NA,10,10,8,9
"6762f512bbd08dc5ac17bc9f",NA,10,10,10,10
"66b2c7262f4631f5eea8e729","I felt comfortable with the instructions. I was not confused.",8,8,8,7
"63a18415816a2a0cbe438f1b","I actually thought I would make more than I ended up making. I thought I would make more than what was said to be average, instead, I am relatively sure I earned less.",8,9,4,4
