"participant.label","feedback","feedback_difficulty","feedback_understanding","feedback_satisfied","feedback_pay"
"675b3c26026f3cfdc03594d0",NA,10,10,10,9
"665f8460cb17ece2fa679d4a",NA,10,10,6,4
"63d79d065189719c8393e3eb",NA,8,9,9,10
"60f09796c2a24694ff43f6b7","Thanks for the study and the tax was high on my small earnings, just like in the real world..taxes are to high for the middle class and to low for the wealthy!!!",10,10,8,9
"6524305322b1779f67502b35","No comment.",10,10,9,7
"67191a586acc04aabd3c80cc",NA,9,9,9,9
"5c03582c1a20110001e9843a",NA,10,10,10,10
"6734c699d11234d19b0be0ec","N/A",10,10,10,10
"60fd835ac72c40ff4dcb4554","I felt myself thinking about the current political environment in the US and trying to make my decisions based on what the political environment might be in the next 1,3,5 years.",10,8,8,9
"63f794e7d8d24753edbbb136",NA,10,10,8,8
"6643c77e0c522dd6c4be1bd1",NA,8,9,7,6
"672ff021dad78d519a50f64a",NA,10,10,10,10
"667c7501f888c2f1e76c031b",NA,1,2,2,2
"636547c2b26e5248a9d03c01","none",10,10,10,10
"65f2f210fae0e4129f5dfdd1","thank you",10,10,10,10
"67c1fd8fd3ef65aaad4ba892",NA,10,9,10,9
"665c989703b2609ce0e958ad","It was fun.",10,10,10,10
"65fb7207db270373fa2db455","No comment.",8,9,8,8
"6266a87a7adacd7a91cabc93",NA,10,10,8,8
"676e468736ae0c0d06bd4403","thank you",10,10,10,10
"56cc78e3ccc0e20006b82a7d","No issues, questions, comments, or concerns, thanks!",10,10,10,10
"5c5c7f9cdff4b30001aa79a5",NA,10,10,10,10
"67785c6b67b1b323d4bc5421",NA,8,8,10,10
"6785f0d3adcf1ffc11119d0e","All was good",10,10,10,7
"5ef459442f85d701235bf29e",NA,8,10,10,10
"5842fc63bd63a400010f6ae7",NA,10,10,10,10
"6717cc939f9d7977b10d85f5","very neat survey, was engaging and thoughtful",10,10,10,10
"66a95d70975d6208dbb70c1e","I felt comfortable with this study. it was actually fun for me to complete. The directions were very clear and simple.",10,10,10,10
"6596d692ac956830b68776e0",NA,9,10,8,9
"677d8df4fb855e239a363f89",NA,5,6,4,9
"5f4fef64fd3fc113300fbb44",NA,8,9,8,9
"67d47007556388f637dab7ef",NA,9,10,9,8
"671d0e626505134afb4dc9d3","None",10,10,10,10
"66a337531d9c242e4a71267a","Everythink was okay",10,10,10,10
"674983ea9f65836cfc55078d","NICE STUDY",10,10,10,10
"60e5cb4ca01a593fce9a379d","Survey is very interesting.",10,10,10,10
"611605de0a30eebef2479dc3",NA,9,10,9,10
"677d6b29b44ccabd2fce33cb","The part about predicting the tax rate was a bit confusing, but I think that was intended. The rest of the instructions were clear and the study was interesting! Thanks!",7,8,9,10
"6787fc73447911339adec589",NA,10,10,10,10
"67d34cb37287d4934dee886d",NA,10,7,9,4
"643b53b6aeaabf186d24e099","thanks. i sure do hope those transcribed words were pleasant.",9,9,10,9
"671704c87bf3abe9ae644622",NA,7,6,6,4
"5e42f74f5b772a18434cabf7","Hi I had it rough Idk if its my mouse or what Im sure its on my end . I had to watch every type stroke because if I would click a letter it will put it down in duplicate so i could not go as fast as I wanted but overall it worked out just wish I could have made more but I did well considering the extra challenge  ty",9,9,9,9
"61bb396840db417c1a138e3d",NA,9,9,9,7
"66318e38a23001971c128033","These instructions were very easy to follow. I also enjoyed the challenge of taking part in the typing game.",8,8,10,10
"674480168cc2dad8fc619be0",NA,9,9,9,9
"589ce4d65e63bf00013b3175",NA,10,10,10,10
"5e9f657265908b0fcacb1839",NA,10,7,10,10
"66293a02f66f851f4c9fec39",NA,10,10,10,10
"6744f6b7f36802f73ce07b2c","Thank you for an overall interesting study!",9,9,10,9
"67723428c7d8eee59166c865","good",10,10,10,10
"64abee38a80dfb5e45212487",NA,10,10,5,4
"66c38c380f6784a696195559",NA,10,10,5,6
"664306747d76c0d7ada669e8","The instructions were clear to me.",9,10,10,10
"665fc8123159edac3b65bd62",NA,10,10,10,10
"67d38926020c512a895f0cc4","The study was great",9,9,9,9
"5c8f224c9d2bff0001867ce2",NA,10,10,10,10
"67ace9b8a3dada8f64274fd7","No comments",10,10,10,10
"61128d1fd41c74c6ee31a564",NA,10,10,4,7
"61496cada4d62f06804fa610","There was a part in the study where it said to click the word HERE. But, there was no hyperlink when my mouse hovered over it.  I'm not sure if I understood what the instructions meant by that. It didn't seem like an action took place. Not sure if my computer glitched.",9,9,10,10
"640b816df86dcee615619d0d","everything went well and was easy to understand",10,10,10,10
"5d14c08b63f5660018e9c499","None",10,10,8,6
"6787d95bb2b74926ea16b506",NA,10,10,10,8
"67a6f7c1713b2f8290259434","The instructions were solid, and I appreciated the behavioral angle.",9,10,8,7
"586ee444d22a5800014c54e8",NA,10,10,9,9
"652597b2c458a7f8e354c6c3",NA,10,10,10,9
"66df49caa6df07d77078a5fd",NA,10,10,10,10
"666e57a593be89c7850addc2",NA,10,10,6,6
"66ed25ce5114149b9c97e578","N/A",10,10,10,10
"60fe3a34f7f4d5e48ad56af2",NA,6,7,5,9
"679154d304790eef1237fba1",NA,7,9,5,5
"5e405a1cfce14d29997364da","I enjoyed the study.",10,10,10,10
