attention_check,duration_minutes,participant.payoff,participant.treatment,training_correctAttempts,work_1_correctAttempts,work_2_correctAttempts,work_3_correctAttempts,training_incorrectAttempts,work_1_incorrectAttempts,work_2_incorrectAttempts,work_3_incorrectAttempts,participant.label,survey_student_loans_with_likert,survey_student_loans_without_likert,survey_student_loans_with,survey_student_loans_without,survey_wealth_tax_savings,survey_wealth_tax_savings_number,survey_repatriation,survey_tax_rates_1,survey_tax_rates_2,survey_tax_rates_3,survey_tax_rates_4,survey_tax_rates_5,survey_tax_rates_1_prob,survey_tax_rates_2_prob,survey_tax_rates_3_prob,survey_tax_rates_4_prob,survey_tax_rates_5_prob,annual_income,beliefs1,beliefs1_2,beliefs2,beliefs1_3,beliefs2_3,beliefs3,beliefs4,feedback,feedback_difficulty,feedback_understanding,feedback_satisfied,feedback_pay
failed,93.98207346995672,3.25,C-NoInfo,5,10,5,5,1,2,5,1,66632c69d2b270f0314a0b16,Very Likely,Very Likely,70,65,No change,NA,Discourage,Very unlikely,Very unlikely,Very unlikely,Likely,Very likely,3,5,10,35,70,9,25,27,25,29,27,25,25,NA,10,9,9,10
passed,43.48216884533564,6.46,T2-T,6,19,21,25,0,0,2,2,667970bb47ca9598fd9fe270,Very Likely,Very Likely,95,100,No change,NA,Encourage,Unlikely,Unlikely,Likely,Likely,Very likely,10,20,40,55,75,1,25,26,61,24,33,59,60,"there was only one typo in the after task survey where it says in the question ""if student were canceled"" instead of what was meant to be stated",10,10,10,10
failed,55.81820567846298,1.84,T1-T-Info,8,5,5,8,1,0,0,0,665dad37740a458b78ae5c71,Unlikely,Likely,30,45,Spend/consume somewhat less,3,Discourage,Likely,Likely,Likely,Likely,Unlikely,30,60,50,50,20,6,25,20,25,28,30,20,25,NA,8,8,8,8
passed,43.14265542427699,2.29,T1-T-NoInfo,6,8,7,8,1,0,0,0,677d9859b713c31eb73da3b9,Very Likely,Very Likely,100,100,No change,NA,No change,Very unlikely,Unlikely,Likely,Very likely,Very likely,100,50,80,100,100,12,25,25,50,25,75,45,25,none,10,10,10,10
failed,43.56691620747248,4.38,T1-P,5,14,12,19,1,0,2,1,63a4af8f8b8722876fa88952,Likely,Likely,70,70,Spend/consume somewhat more,300,Discourage,Unlikely,Unlikely,Likely,Unlikely,Unlikely,80,70,85,50,50,11,25,27,50,25,50,50,50,NA,10,10,9,10
passed,45.39239205916723,5.06,C-Info,5,14,14,17,0,3,4,0,67059bab62b875241f1ecb11,Unlikely,Very Likely,95,99,Spend/consume much more,1000,Encourage,Very unlikely,Unlikely,Likely,Very likely,Very likely,10,30,60,85,95,5,25,20,25,33,25,25,25,NA,9,9,10,10
passed,45.30885637203853,5.06,C-NoInfo,5,13,16,16,0,1,1,1,66873c06f948d147e72b2654,Likely,Very Likely,75,100,Spend/consume somewhat less,100,Encourage,Very unlikely,Likely,Very likely,Very likely,Very likely,15,75,100,100,100,4,25,0,0,0,0,0,25,NA,7,9,8,10
failed,60.67061351537704,1.58,T2-T,5,8,12,1,1,0,0,0,5bd3454113e7dd0001f21591,Unlikely,Unlikely,40,40,No change,NA,Definitely encourage,Likely,Likely,Very likely,Very likely,Very likely,60,60,80,100,90,6,25,30,40,35,50,30,30,NA,9,10,10,10
failed,60.9196651617686,3.41,T1-T-NoInfo,6,14,11,10,0,0,2,0,5d0dca2cecd8f60017eaddb3,Very unlikely,Very unlikely,2,1,Spend/consume somewhat less,200,No change,Likely,Likely,Very likely,Very likely,Very likely,25,35,65,80,85,3,25,35,25,50,35,20,20,This was a good study.,8,9,9,10
passed,55.32861226002375,4.53,T1-P,5,14,16,17,0,0,0,0,612fa57ac45f393b3531fcfb,Very Likely,Very Likely,100,100,Spend/consume somewhat more,6000,No change,Very unlikely,Very unlikely,Unlikely,Very likely,Very likely,100,90,75,80,100,4,26,20,50,30,50,50,50,The bonus structure was unclear.  Was I able to earn a bonus for predictions made before each work section or just the first predictions?,9,9,9,10
