attention_check,duration_minutes,participant.payoff,participant.treatment,training_correctAttempts,work_1_correctAttempts,work_2_correctAttempts,work_3_correctAttempts,training_incorrectAttempts,work_1_incorrectAttempts,work_2_incorrectAttempts,work_3_incorrectAttempts,participant.label,survey_student_loans_with_likert,survey_student_loans_without_likert,survey_student_loans_with,survey_student_loans_without,survey_student_loans_likelihood,survey_wealth_tax_savings_likelihood,survey_wealth_tax_savings,survey_wealth_tax_savings_number,survey_repatriation,survey_repatriation_likelihood,survey_tax_rates_1,survey_tax_rates_2,survey_tax_rates_3,survey_tax_rates_4,survey_tax_rates_5,survey_tax_rates_1_prob,survey_tax_rates_2_prob,survey_tax_rates_3_prob,survey_tax_rates_4_prob,survey_tax_rates_5_prob,annual_income,beliefs1,beliefs1_2,beliefs2,beliefs1_3,beliefs2_3,beliefs3,beliefs4,feedback,feedback_difficulty,feedback_understanding,feedback_satisfied,feedback_pay,cq_1_mistakes,cq_2_mistakes,cq_3_mistakes
failed,46.38380320866903,2.93,T1-T-Info,5,9,11,9,1,1,2,1,675b3c26026f3cfdc03594d0,Very Likely,Very Likely,15,25,5,5,Save somewhat more,100,Encourage,5,Likely,Very likely,Likely,Very likely,Likely,12,34,14,15,5,9,25,20,10,20,10,0,0,NA,10,10,10,9,0,0,0
failed,55.13183859189351,2.76,T1-T-NoInfo,5,13,7,0,1,1,0,0,665f8460cb17ece2fa679d4a,Likely,Very Likely,10,10,3,5,No change,NA,No change,3,Unlikely,Likely,Very likely,Likely,Likely,0,10,10,10,10,9,25,25,25,25,25,25,25,NA,10,10,6,4,0,0,0
failed,45.09071602423986,7.19,C-Info,5,16,20,19,4,4,3,5,63d79d065189719c8393e3eb,Likely,Unlikely,65,30,3,2,Save somewhat more,200,No change,3,Likely,Likely,Very likely,Very likely,Very likely,55,60,75,80,95,1,25,30,25,27,25,25,25,NA,8,9,9,10,0,0,0
passed,49.65788280169169,2.33,T1-P,5,9,11,11,1,0,3,4,60f09796c2a24694ff43f6b7,Unlikely,Likely,20,80,1,3,Save much less,50,Discourage,3,Unlikely,Likely,Very likely,Likely,Likely,10,25,50,35,60,7,25,25,50,25,30,50,50,"Thanks for the study and the tax was high on my small earnings, just like in the real world..taxes are to high for the middle class and to low for the wealthy!!!",10,10,8,9,0,0,0
failed,74.818552283446,2.81,T1-T-Info,6,9,9,10,1,3,1,1,6524305322b1779f67502b35,Very Likely,Very Likely,65,75,5,4,Save somewhat more,12,Encourage,4,Very likely,Likely,Unlikely,Likely,Unlikely,75,60,40,75,55,11,25,27,30,30,35,21,50,No comment.,10,10,9,7,0,1,0
failed,58.99787047704061,4.65,T2-T,7,11,13,18,1,2,1,0,67191a586acc04aabd3c80cc,Very Likely,Very Likely,5,5,2,2,No change,NA,Discourage,2,Likely,Likely,Likely,Unlikely,Unlikely,5,5,5,0,0,8,25,20,25,35,22,26,25,NA,9,9,9,9,0,0,0
passed,45.24388842980067,1.35,C-Info,5,6,6,0,0,2,0,0,5c03582c1a20110001e9843a,Very Likely,Very Likely,100,100,1,4,Save somewhat more,200,Discourage,3,Very likely,Very unlikely,Unlikely,Very likely,Very likely,50,5,5,80,100,7,2,6,40,9,21,25,25,NA,10,10,10,10,0,0,0
failed,59.25484660069148,3.36,C-NoInfo,5,5,7,9,9,2,0,0,6734c699d11234d19b0be0ec,Likely,Likely,60,60,3,4,No change,NA,Definitely discourage,4,Likely,Very likely,Likely,Likely,Likely,10,10,10,15,12,11,25,25,25,25,10,25,10,N/A,10,10,10,10,0,1,1
passed,52.07513206799825,3.6,T1-T-Info,6,9,12,14,1,1,0,0,60fd835ac72c40ff4dcb4554,Unlikely,Unlikely,20,20,1,2,No change,NA,No change,2,Unlikely,Unlikely,Unlikely,Unlikely,Likely,60,50,40,50,50,4,25,23,40,25,30,60,30,"I felt myself thinking about the current political environment in the US and trying to make my decisions based on what the political environment might be in the next 1,3,5 years.",10,8,8,9,0,0,0
passed,56.55765241384506,0,T2-T,8,0,0,0,2,0,0,0,63f794e7d8d24753edbbb136,Unlikely,Unlikely,10,20,2,4,No change,NA,No change,4,Likely,Likely,Likely,Likely,Very likely,30,30,40,45,60,4,25,25,90,25,25,25,25,NA,10,10,8,8,0,0,0
passed,39.892877693970995,4.88,T1-T-NoInfo,5,14,16,18,1,2,2,1,6643c77e0c522dd6c4be1bd1,Likely,Likely,70,60,2,1,No change,NA,No change,4,Very unlikely,Unlikely,Likely,Very likely,Very likely,20,40,75,90,100,7,25,27,30,20,25,30,22,NA,8,9,7,6,0,0,0
passed,50.58606265385946,6.17,C-Info,5,13,15,18,2,2,0,0,672ff021dad78d519a50f64a,Very Likely,Very Likely,100,99,4,4,No change,NA,Encourage,2,Unlikely,Likely,Very likely,Very likely,Very likely,15,60,100,100,100,1,25,22,26,27,24,25,25,NA,10,10,10,10,0,0,0
failed,48.23873294194539,3.15,T1-P,6,13,12,17,0,3,0,0,667c7501f888c2f1e76c031b,Likely,Very Likely,50,45,3,3,Save somewhat more,30,Encourage,3,Unlikely,Likely,Likely,Likely,Likely,5,15,15,20,40,3,22,15,23,30,30,40,38,NA,1,2,2,2,0,0,0
passed,40.31935565074285,9.44,C-NoInfo,5,22,25,28,2,1,0,0,636547c2b26e5248a9d03c01,Likely,Likely,55,55,4,3,No change,NA,No change,3,Very unlikely,Very unlikely,Likely,Likely,Likely,12,15,20,22,25,8,23,17,22,22,23,23,21,none,10,10,10,10,0,0,0
passed,51.69442220131556,3.2,T2-T,5,11,13,14,0,1,0,0,65f2f210fae0e4129f5dfdd1,Very Likely,Very Likely,100,100,4,5,Save much less,2000,No change,3,Unlikely,Likely,Very likely,Very likely,Very likely,10,25,50,100,100,11,25,26,50,22,75,95,90,thank you,10,10,10,10,0,0,0
